,Engineered Baseline,mimic,Reward Prediction Error,State-Action Function
0,1.1898186625123512,1.1665354747791625,1.1808089519431177,1.158117906849336
1,1.195488413590276,1.3738637353913363,1.3734826825317206,2.6709708109117964
2,1.1456061597440392,0.9772245527450938,0.46896245155200095,0.11866633787481598
3,1.174413076187537,1.5032124457270477,0.7809283593228934,0.10585139641015494
4,1.1652016847813251,1.5796668467910757,0.4465121201834654,0.11732522842540825
5,1.1802295139337302,1.099202735789359,2.532211487122689,0.10393575021657786
6,1.1984976096560127,1.5580368872633796,0.32122885857094513,2.1864757515083317
7,1.1727810298763703,1.0176238455528837,0.3138377895248018,0.13791693068217648
8,1.1559308931721128,1.1882371585330038,0.3898380120864856,0.1223774794959917
9,1.1500277930429335,1.1253590447926678,0.7504911771576499,0.12358168319610756
10,1.1836831915431307,1.2922470467049303,0.34372240859834596,0.1251511640139994
11,1.1486513936434175,1.6341285118095976,0.4502098702086963,0.09824127618972053
12,1.1939152399006872,1.3603973064564336,0.5992340262204588,0.1071190484593803
13,1.15908234880165,1.1030705335142044,0.27756302066998945,0.11786444726063741
14,1.1867681769813399,1.0684035902936257,0.3407072927452651,0.10664928121998386
15,1.1669916736912818,1.188644499363196,0.2421043856565586,0.13319213647874026
16,1.2002995169057156,1.8862505580788165,0.4809168176768831,0.152187442855914
17,1.1877517540652929,1.5650830742605069,0.27695979833132617,0.12473969791495657
18,1.1470598672895445,1.0686300591678721,0.46371149249902355,0.11160086558776501
19,1.1886517355993405,2.281902213894748,0.9436975588228886,0.11022923714011895
20,1.1488284059215192,1.4263320064368605,0.7006305220795577,0.10595570318357315
21,1.1553824658120562,1.535884595224108,0.33587329311090847,0.1467639213884293
22,1.1807757931264784,1.168015864749986,0.36658229919911034,0.10841990706992996
23,1.1594367046587901,1.743528168264727,0.38952784470694385,0.10282548740137648
24,1.1528281135703309,1.4729706015080328,0.3363085229694951,0.10687578017146265
25,1.1698620151426549,1.3306630512593385,0.33164882451243105,0.09907423192179585
26,1.1370754655307074,1.6636885824272658,0.32137611091520424,0.09246757657307451
27,1.226799959522042,1.1474476788734072,0.26496840436384766,0.09740660089265143
28,1.1803191070834547,1.4169302188616617,0.2908850812726825,0.09628796131397456
29,1.1888488644886963,1.5182923418624756,0.27966728451890255,0.09583276902682712
